ID,Title,URL,"Pin Score",Saves,Position,"Is Repin","Created At",Comments,Repins,Reactions,"Keyword Annotations","Image URL","Board URL","Profile URL",Description
52987733113986163,"cozy vibes dream home inspo earthy botanical whimsical cottagecore aesthetic balcony farmhouse décor",https://www.pinterest.com/pin/52987733113986163,N/A,33440,1,1,"Jan 31, 2026",22,4,1924,"Balcony Decor Ideas Pinterest, Balcony Design Ideas Pinterest, Modern Balcony Ideas, Pinterest Balcony Decor, Small Balcony Design Ideas, Cute Small Balcony Ideas, Balcony Area, Little Terrace Ideas, Terrace Ideas Apartment",https://i.pinimg.com/736x/2e/3d/d0/2e3dd0287ea35bc04e91d17066c4f401.jpg,"Board not found",https://app.pinclicks.com/accounts/mabso7,"Dream Home Decorative Plants essentials linked <3 | cozy vibes dream home inspo earthy botanical whimsical cottagecore aesthetic balcony farmhouse decor #CozyVibes #DreamHomeInspo #EarthyBalcony #BotanicalDecor #WhimsicalDecor #CottagecoreAesthetic #FarmhouseDecor #CozyBalcony #DreamBalcony #EarthyTones #BotanicalHaven #ad #affiliate #amazonfinds As an Amazon Associate I earn from qualifying purchases. #WhimsicalHome #CottagecoreHome #FarmhouseHome #BalconyInspo #HomeInspo #OutdoorLiving #InteriorInspiration #CozyDecor #EarthyStyle #WhimsicalCharm #CottageStyle #FarmhouseFlair #NatureInspired #PlantLover #OutdoorPlants #FloralFantasy #Greenery #NaturalMaterials #WoodAccents #CollectedHome #HandmadeDecor #LayeredTextures #SoftAndCozy #HyggeHome #EclecticDecor #CuratedHome #CottagecoreLiving"
52987733113987672,"Balcony Makeover – Fresh Style, Big Impact",https://www.pinterest.com/pin/52987733113987672,N/A,3992,2,1,"Jan 31, 2026",6,0,938,"Decorating Balcony, Patio Balcony Ideas Apartments, Balcony Deco, Square Balcony Design, Outside Balcony Ideas, Open Balcony, Square Balcony Ideas, Flat Balcony Ideas, Little Balcony Ideas",https://i.pinimg.com/736x/aa/ac/73/aaac7354e0c363fbd9b71f4dd11c169f.jpg,"Board not found",https://app.pinclicks.com/accounts/jaadahughes0528,"A balcony makeover can transform your space into a beautiful oasis! Add greenery, comfy cushions, and stylish touches like a rug or lanterns. Whether it’s a sunny reading nook or a starlit dinner spot, a little effort goes a long way. // balcony makeover // balcony makeover indian // balcony makeover ideas // balcony makeover indian apartment // balcony makeover diy // balcony makeover indian simple // balcony makeover ideas apartment // balcony makeover with plants"
1125968702559217,"Balcony Inspiration: Cozy Outdoor Oasis 🌿🪴✨",https://www.pinterest.com/pin/1125968702559217,N/A,16353,3,1,"Mar 8, 2025",10,903,1272,"Balkon Decor, Small Balcony Design, Apartment Patio, Apartment Patio Decor, Small Balcony Decor, Apartment Balcony Decorating, Balcony Design, Apartment Balconies, Casa Dei Sogni",https://i.pinimg.com/736x/80/10/fe/8010fe231dee9bcdaaf9d81c12581262.jpg,https://app.pinclicks.com/accounts/lauravellonarco/boards/3268571,https://app.pinclicks.com/accounts/lauravellonarco,"Transform your balcony into a cozy retreat! 🌿🪴✨ Discover stunning decor ideas, furniture tips, and greenery for a perfect outdoor oasis. Ideal for small spaces and urban living. #BalconyDecor #OutdoorLiving #SmallSpaceDesign #UrbanOasis #CozyCorner #DIYDecor"
297519119154988024,"Small balcony makeover | Front balcony makeover, Small balcony decorating ideas apartment front porches, Patio balcony ideas",https://www.pinterest.com/pin/297519119154988024,N/A,2082,4,1,"Feb 2, 2026",16,0,806,"Balcony Makeover Diy, Patio Balcony Ideas, Simple Balcony Makeover, Diy Balcony Renovation Guide, Apartment Porch Ideas, Modern Balcony, Techos De Casas, Apartment Porch, Outdoor Balcony Ideas",https://i.pinimg.com/736x/96/bd/83/96bd839c628152bf4013e9909099fd05.jpg,"Board not found",https://app.pinclicks.com/accounts/sheena_downey," "
146930006588872535,"Tiny house balcony ideas apartment therapy | Decorations for tiny balcony, Small terrace apartment ideas, Terrace design balcony small spaces",https://www.pinterest.com/pin/146930006588872535,N/A,887,5,1,"Jan 31, 2026",0,0,77,"Balcony Room Ideas, Loggia Inspiration, Outside Balcony Ideas, Open Balcony, Small Open Balcony Ideas, Open Balcony Decor Ideas, Little Balcony Ideas, Balcony Decor Ideas For Apartments, Very Small Balcony Ideas Apartment",https://i.pinimg.com/736x/92/b2/8e/92b28ed24193fb0fc3bc67df8d21619f.jpg,"Board not found",https://app.pinclicks.com/accounts/lschaal0459," "
2392606047270450,"Small balcony set up | Aesthetic small balcony, Small balcony decor, Apartment balcony decorating",https://www.pinterest.com/pin/2392606047270450,N/A,36281,6,1,"Nov 10, 2024",7,4963,1769,"Aesthetic Small Balcony, Apartment Patio, Small Balcony Decor, Decoracion Balcones Pequeños, Balcony Design, Small Balcony Set Up, Balcony Setup, Balcony Inspo Apartment, Balcon Decor",https://i.pinimg.com/736x/e6/a2/9c/e6a29c48a9169cce8b41cbd6893ea40f.jpg,https://app.pinclicks.com/accounts/dezsogabriella/boards/1500195,https://app.pinclicks.com/accounts/dezsogabriella," "
18788523442490162,"My little oasis in the sky is finally complete 🥹 come watch me make my final touches to the balcony makeover & let me k… [Video] | Small patio ideas for apartments, Small apartment patio design, High balcony ideas",https://www.pinterest.com/pin/18788523442490162,N/A,3380,7,1,"Jan 31, 2026",6,1,1215,"High Balcony Ideas, Small Patio Ideas For Apartments, Small Apartment Patio Design, Small Balcony Oasis, Balcony Condo, Apt Balcony Ideas Small Spaces, Top Floor Balcony Ideas, Small Room Balcony Ideas, Modern Apartment Patio",https://i.pinimg.com/736x/dc/2c/57/dc2c57aecd5ad65885c777b5721c97c2.jpg,"Board not found",https://app.pinclicks.com/accounts/Mcoordinadora,"my little oasis in the sky is finally complete 🥹 come watch me make my final touches to the balcony makeover & let me know your thoughts 🧡 . . . . . #apartment #apartments #architecture #balcony #balconydecor #fashion #flowers #furnishing #furnituremanufacturer #garden #gardendesign #gardening #home #homedecor #homedesign #ikea #ikeahack #ikeahome #interior #interiordesign #landscape #landscapedesign #landscaping #landscapingdesign #livingroomfurniture #love #luxury #nature #plants #realestate"
251427591692549637,"Balcony with couches | Couches on balconies, Cozy balcony view at night, Cozy balcony view at dusk",https://www.pinterest.com/pin/251427591692549637,N/A,8536,8,1,"Jan 31, 2026",2,0,793,"Cozy Indoor Balcony View, Cozy Indoor Garden With Hanging Lights, Cozy Balcony View, Cozy Balcony With Hanging Lanterns, Cozy Balcony With Hanging Lights, Cozy Balcony With Plants And Lights, Cozy Balcony With Flowers And Lights, Cozy Balcony With Candles And Lanterns, Cozy Night Romantic Balcony",https://i.pinimg.com/736x/e9/75/03/e9750350657bc22435dacf69f61a6952.jpg,"Board not found",https://app.pinclicks.com/accounts/oldcarey," "
303570831155428788,"Boho Glow Balcony Escape",https://www.pinterest.com/pin/303570831155428788,N/A,16347,9,1,"Feb 1, 2026",15,2,1022,"Pinterest Balcony, Cute Balcony Decor Ideas, Terrace Design Balcony Small Spaces, Apartment Patio Decorating Ideas Cozy, Cozy Balconies, Fairy Lights Balcony Decorating Ideas, Balcony Ideas Apartment Winter, Balcony Cosy Ideas, Cozy Balcony Decor Ideas",https://i.pinimg.com/736x/65/16/40/6516404a26801f62124a7f890ce314b1.jpg,"Board not found",https://app.pinclicks.com/accounts/slightlygoofy,"This dreamy boho balcony glows with soft fairy lights, cozy textures, and warm lanterns. A snug evening corner to sip tea, journal your thoughts, or simply breathe in the calm of the night sky."
351912466156368,"A cozy balcony makeover…..",https://www.pinterest.com/pin/351912466156368,N/A,2910,10,1,"Mar 5, 2025",21,0,689,"Balkani Decoration Ideas, Verandah Makeover, Balcony Makeover India, How To Cover Balcony Grill, Small Backyard Ideas Apartments, 1 Bhk Flat Decoration Ideas, Balcony Makeovers, Balcony Diy Decor Ideas, Balcony Decorations Ideas",https://i.pinimg.com/736x/49/8e/5e/498e5e371b41630f1b5384195208145f.jpg,https://app.pinclicks.com/accounts/bevo08/boards/2121469,https://app.pinclicks.com/accounts/bevo08," "
