ID,Label,URL,"Search Volume",Followers,Taxonomy,"Related Interests"
900706898332,"small patio ideas",https://www.pinterest.com/ideas/small-patio-ideas/900706898332,118387,0,"lawn and garden (https://app.pinclicks.com/keyword/lawn-and-garden/909983286710)
lawn and garden ideas (https://app.pinclicks.com/keyword/lawn-and-garden-ideas/909909540942)
patio ideas (https://app.pinclicks.com/keyword/patio-ideas/942175527692)","tiny patio ideas (https://app.pinclicks.com/keyword/tiny-patio-ideas/928365269864)
cozy backyard ideas (https://app.pinclicks.com/keyword/cozy-backyard-ideas/914354962020)
small backyard ideas (https://app.pinclicks.com/keyword/small-backyard-ideas/944097708271)
back patio ideas (https://app.pinclicks.com/keyword/back-patio-ideas/917110139686)
small backyard patio designs (https://app.pinclicks.com/keyword/small-backyard-patio-designs/927222177862)
mini patio ideas (https://app.pinclicks.com/keyword/mini-patio-ideas/945166175151)
back patio ideas on a budget (https://app.pinclicks.com/keyword/back-patio-ideas-on-a-budget/950347510404)
small back patio (https://app.pinclicks.com/keyword/small-back-patio/930211584242)
outside patio ideas (https://app.pinclicks.com/keyword/outside-patio-ideas/930372925147)
patio garden ideas (https://app.pinclicks.com/keyword/patio-garden-ideas/901685364862)"
949083123216,"small patio decorating ideas",https://www.pinterest.com/ideas/small-patio-decorating-ideas/949083123216,30228,0,"home decor (https://app.pinclicks.com/keyword/home-decor/935249274030)
outdoor decor (https://app.pinclicks.com/keyword/outdoor-decor/954922497085)
outdoor decoration ideas (https://app.pinclicks.com/keyword/outdoor-decoration-ideas/961198106321)","mini patio ideas (https://app.pinclicks.com/keyword/mini-patio-ideas/945166175151)
cozy patio ideas small spaces (https://app.pinclicks.com/keyword/cozy-patio-ideas-small-spaces/935412850343)
small outside patio ideas (https://app.pinclicks.com/keyword/small-outside-patio-ideas/926455894755)
tiny patio ideas (https://app.pinclicks.com/keyword/tiny-patio-ideas/928365269864)
outdoor patio ideas small spaces (https://app.pinclicks.com/keyword/outdoor-patio-ideas-small-spaces/948043998695)
townhome patio ideas (https://app.pinclicks.com/keyword/townhome-patio-ideas/960254778244)
cute patio ideas (https://app.pinclicks.com/keyword/cute-patio-ideas/915789171298)
back patio ideas on a budget (https://app.pinclicks.com/keyword/back-patio-ideas-on-a-budget/950347510404)
back patio decorating ideas (https://app.pinclicks.com/keyword/back-patio-decorating-ideas/904835531132)
small patio inspiration (https://app.pinclicks.com/keyword/small-patio-inspiration/926336035668)"
909853156745,"small outdoor patio ideas",https://www.pinterest.com/ideas/small-outdoor-patio-ideas/909853156745,29541,0,"lawn and garden (https://app.pinclicks.com/keyword/lawn-and-garden/909983286710)
lawn and garden ideas (https://app.pinclicks.com/keyword/lawn-and-garden-ideas/909909540942)
patio ideas (https://app.pinclicks.com/keyword/patio-ideas/942175527692)","mini patio ideas (https://app.pinclicks.com/keyword/mini-patio-ideas/945166175151)
small outside patio ideas (https://app.pinclicks.com/keyword/small-outside-patio-ideas/926455894755)
tiny patio ideas (https://app.pinclicks.com/keyword/tiny-patio-ideas/928365269864)
cozy patio ideas small spaces (https://app.pinclicks.com/keyword/cozy-patio-ideas-small-spaces/935412850343)
backyard patio decorating ideas (https://app.pinclicks.com/keyword/backyard-patio-decorating-ideas/942549699763)
cozy backyard ideas (https://app.pinclicks.com/keyword/cozy-backyard-ideas/914354962020)
townhome patio ideas (https://app.pinclicks.com/keyword/townhome-patio-ideas/960254778244)
small back patio ideas (https://app.pinclicks.com/keyword/small-back-patio-ideas/961615871445)
small patio inspiration (https://app.pinclicks.com/keyword/small-patio-inspiration/926336035668)
small backyard patio designs (https://app.pinclicks.com/keyword/small-backyard-patio-designs/927222177862)"
955654212912,"small patio ideas townhouse",https://www.pinterest.com/ideas/small-patio-ideas-townhouse/955654212912,9752,0,,
935412850343,"cozy patio ideas small spaces",https://www.pinterest.com/ideas/cozy-patio-ideas-small-spaces/935412850343,7821,0,"lawn and garden (https://app.pinclicks.com/keyword/lawn-and-garden/909983286710)
lawn and garden ideas (https://app.pinclicks.com/keyword/lawn-and-garden-ideas/909909540942)
patio ideas (https://app.pinclicks.com/keyword/patio-ideas/942175527692)","mini patio ideas (https://app.pinclicks.com/keyword/mini-patio-ideas/945166175151)
cute patio ideas (https://app.pinclicks.com/keyword/cute-patio-ideas/915789171298)
tiny patio ideas townhouse (https://app.pinclicks.com/keyword/tiny-patio-ideas-townhouse/931667348011)
cozy patio ideas on a budget (https://app.pinclicks.com/keyword/cozy-patio-ideas-on-a-budget/915498505484)
cozy backyard ideas (https://app.pinclicks.com/keyword/cozy-backyard-ideas/914354962020)
small outside patio ideas (https://app.pinclicks.com/keyword/small-outside-patio-ideas/926455894755)
outdoor patio ideas small spaces (https://app.pinclicks.com/keyword/outdoor-patio-ideas-small-spaces/948043998695)
cozy patio decorating ideas (https://app.pinclicks.com/keyword/cozy-patio-decorating-ideas/937703074708)
small patio inspiration (https://app.pinclicks.com/keyword/small-patio-inspiration/926336035668)
small back patio ideas (https://app.pinclicks.com/keyword/small-back-patio-ideas/961615871445)"
948043998695,"outdoor patio ideas small spaces",https://www.pinterest.com/ideas/outdoor-patio-ideas-small-spaces/948043998695,7674,0,"lawn and garden (https://app.pinclicks.com/keyword/lawn-and-garden/909983286710)
lawn and garden ideas (https://app.pinclicks.com/keyword/lawn-and-garden-ideas/909909540942)
patio ideas (https://app.pinclicks.com/keyword/patio-ideas/942175527692)","cozy patio ideas small spaces (https://app.pinclicks.com/keyword/cozy-patio-ideas-small-spaces/935412850343)
mini patio ideas (https://app.pinclicks.com/keyword/mini-patio-ideas/945166175151)
small outside patio ideas (https://app.pinclicks.com/keyword/small-outside-patio-ideas/926455894755)
tiny patio ideas (https://app.pinclicks.com/keyword/tiny-patio-ideas/928365269864)
cozy backyard ideas (https://app.pinclicks.com/keyword/cozy-backyard-ideas/914354962020)
small back patio ideas (https://app.pinclicks.com/keyword/small-back-patio-ideas/961615871445)
small patio inspiration (https://app.pinclicks.com/keyword/small-patio-inspiration/926336035668)
back patio ideas on a budget (https://app.pinclicks.com/keyword/back-patio-ideas-on-a-budget/950347510404)
small patio design ideas (https://app.pinclicks.com/keyword/small-patio-design-ideas/923336277371)
townhome patio ideas (https://app.pinclicks.com/keyword/townhome-patio-ideas/960254778244)"
961615871445,"small back patio ideas",https://www.pinterest.com/ideas/small-back-patio-ideas/961615871445,6517,0,"lawn and garden (https://app.pinclicks.com/keyword/lawn-and-garden/909983286710)
lawn and garden ideas (https://app.pinclicks.com/keyword/lawn-and-garden-ideas/909909540942)
patio ideas (https://app.pinclicks.com/keyword/patio-ideas/942175527692)","mini patio ideas (https://app.pinclicks.com/keyword/mini-patio-ideas/945166175151)
cozy patio ideas small spaces (https://app.pinclicks.com/keyword/cozy-patio-ideas-small-spaces/935412850343)
back patio ideas on a budget (https://app.pinclicks.com/keyword/back-patio-ideas-on-a-budget/950347510404)
back patio decorating ideas (https://app.pinclicks.com/keyword/back-patio-decorating-ideas/904835531132)
backyard patio decorating ideas (https://app.pinclicks.com/keyword/backyard-patio-decorating-ideas/942549699763)
cozy backyard ideas (https://app.pinclicks.com/keyword/cozy-backyard-ideas/914354962020)
townhome patio ideas (https://app.pinclicks.com/keyword/townhome-patio-ideas/960254778244)
small backyard patio designs (https://app.pinclicks.com/keyword/small-backyard-patio-designs/927222177862)
cute patio ideas (https://app.pinclicks.com/keyword/cute-patio-ideas/915789171298)
outdoor patio ideas small spaces (https://app.pinclicks.com/keyword/outdoor-patio-ideas-small-spaces/948043998695)"
921380557591,"small patio garden ideas",https://www.pinterest.com/ideas/small-patio-garden-ideas/921380557591,5870,1,"lawn and garden (https://app.pinclicks.com/keyword/lawn-and-garden/909983286710)
lawn and garden ideas (https://app.pinclicks.com/keyword/lawn-and-garden-ideas/909909540942)
patio ideas (https://app.pinclicks.com/keyword/patio-ideas/942175527692)","little garden ideas small spaces (https://app.pinclicks.com/keyword/little-garden-ideas-small-spaces/927213144219)
small back garden ideas (https://app.pinclicks.com/keyword/small-back-garden-ideas/945372751863)
small garden ideas on a budget (https://app.pinclicks.com/keyword/small-garden-ideas-on-a-budget/900530114070)
tiny garden design (https://app.pinclicks.com/keyword/tiny-garden-design/919058005623)
tiny garden ideas (https://app.pinclicks.com/keyword/tiny-garden-ideas/949945417105)
outdoor gardens design small spaces (https://app.pinclicks.com/keyword/outdoor-gardens-design-small-spaces/921666166843)
small garden inspiration ideas (https://app.pinclicks.com/keyword/small-garden-inspiration-ideas/918846281373)
tiny courtyard garden (https://app.pinclicks.com/keyword/tiny-courtyard-garden/919524373446)
small outdoor garden ideas (https://app.pinclicks.com/keyword/small-outdoor-garden-ideas/950702878700)
tiny patio ideas (https://app.pinclicks.com/keyword/tiny-patio-ideas/928365269864)"
934876340086,"small patio ideas apartment tiny balcony",https://www.pinterest.com/ideas/small-patio-ideas-apartment-tiny-balcony/934876340086,5096,0,"lawn and garden (https://app.pinclicks.com/keyword/lawn-and-garden/909983286710)
lawn and garden ideas (https://app.pinclicks.com/keyword/lawn-and-garden-ideas/909909540942)
patio ideas (https://app.pinclicks.com/keyword/patio-ideas/942175527692)","mini balcony ideas apartment (https://app.pinclicks.com/keyword/mini-balcony-ideas-apartment/943411720013)
very small balcony decor (https://app.pinclicks.com/keyword/very-small-balcony-decor/934875156828)
narrow balcony ideas apartment (https://app.pinclicks.com/keyword/narrow-balcony-ideas-apartment/942878184965)
very small balcony ideas apartment (https://app.pinclicks.com/keyword/very-small-balcony-ideas-apartment/933079520895)
small cozy balcony ideas (https://app.pinclicks.com/keyword/small-cozy-balcony-ideas/921566996949)
small outdoor balcony ideas (https://app.pinclicks.com/keyword/small-outdoor-balcony-ideas/928005669014)
cute balcony ideas apartments (https://app.pinclicks.com/keyword/cute-balcony-ideas-apartments/935066222064)
condo balcony ideas (https://app.pinclicks.com/keyword/condo-balcony-ideas/914189190519)
little balcony ideas (https://app.pinclicks.com/keyword/little-balcony-ideas/926383001008)
small balcony ideas apartment plants (https://app.pinclicks.com/keyword/small-balcony-ideas-apartment-plants/909344133288)"
941251670858,"small patio ideas apartment",https://www.pinterest.com/ideas/small-patio-ideas-apartment/941251670858,4718,0,"lawn and garden (https://app.pinclicks.com/keyword/lawn-and-garden/909983286710)
lawn and garden ideas (https://app.pinclicks.com/keyword/lawn-and-garden-ideas/909909540942)
patio ideas (https://app.pinclicks.com/keyword/patio-ideas/942175527692)","cozy patio ideas small spaces (https://app.pinclicks.com/keyword/cozy-patio-ideas-small-spaces/935412850343)
mini patio ideas (https://app.pinclicks.com/keyword/mini-patio-ideas/945166175151)
tiny patio ideas (https://app.pinclicks.com/keyword/tiny-patio-ideas/928365269864)
small patio inspiration (https://app.pinclicks.com/keyword/small-patio-inspiration/926336035668)
small apartment porch ideas (https://app.pinclicks.com/keyword/small-apartment-porch-ideas/899263045904)
apt patio ideas (https://app.pinclicks.com/keyword/apt-patio-ideas/936483829249)
apartment patio decorating ideas (https://app.pinclicks.com/keyword/apartment-patio-decorating-ideas/898279091019)
outdoor patio ideas apartment (https://app.pinclicks.com/keyword/outdoor-patio-ideas-apartment/953408179648)
apartment patio ideas on a budget (https://app.pinclicks.com/keyword/apartment-patio-ideas-on-a-budget/904081040595)
small back patio ideas (https://app.pinclicks.com/keyword/small-back-patio-ideas/961615871445)"
